Site,RawRows,RawStart,RawEnd,DaysCovered,TotalPulses,MeanPulses,ZeroFraction,NonZeroFraction,MaxPulses,IrregularIntervals,EstimatedMissingSteps
2,3259313,2019-04-01 14:43:11,2019-10-09 12:55:59,190.92555555555555,2525400.0,0.7748258605417767,0.945618601220564,0.054381398779436034,44.0,88,864714
3,3394745,2019-05-08 11:24:29,2019-11-25 14:34:57,201.13226851851852,4347132.0,1.280547434343375,0.7891794523594555,0.21082054764054442,71.0,1826,950617
4,1406787,2019-05-02 10:44:00,2020-04-07 12:02:57,341.0548263888889,2050563.0,1.457621516263656,0.935179952615428,0.06482004738457207,133.0,73,5960030
5,2479786,2019-06-03 14:28:44,2020-04-07 11:44:57,308.88626157407407,8628980.0,3.479727686179372,0.854846748872685,0.14515325112731503,68.0,102,4192208
6,940322,2019-06-07 12:03:00,2019-11-14 12:13:59,160.0076273148148,737351.0,0.784147345271088,0.9604348297710784,0.03956517022892158,68.0,28,2515861
7,2542902,2019-07-11 09:39:31,2019-11-15 02:10:59,126.68851851851852,443637.0,0.17446091119516205,0.9591073505781976,0.04089264942180233,27.0,127,193629
8,970519,2019-08-30 13:08:01,2019-10-14 11:32:59,44.93400462962963,332567.0,0.3426692316173099,0.9522131972686779,0.04778680273132211,29.0,4,56
9,1400616,2019-08-20 14:10:17,2020-08-04 10:08:59,349.83243055555556,1328586.0,0.9485726280436608,0.707917087909891,0.29208291209010895,169.0,111,6155818
10,931325,2019-08-20 15:41:19,2020-07-02 12:43:58,316.8768402777778,193373.0,0.20763213700909994,0.9406608863715674,0.05933911362843261,24.0,30,5913230
11,1881112,2019-08-22 10:48:02,2020-07-02 11:47:57,315.0416087962963,634513.0,0.33730740115421093,0.9394650610915246,0.06053493890847541,24.0,9,4923788
12,1491304,2019-08-30 08:23:00,2020-08-04 09:46:57,340.0582986111111,207573.0,0.139188924592169,0.9740053000595452,0.025994699940454797,35.0,112,5854010
13,1171837,2019-08-30 09:13:19,2020-07-02 11:39:00,307.10116898148146,1117809.0,0.9538946116226062,0.8419498616275131,0.15805013837248696,76.0,6,5461548
14,1579538,2019-08-30 10:14:44,2020-08-04 08:42:59,339.93628472222224,2667783.0,1.6889641148234484,0.9215739032552557,0.07842609674474435,61.0,57,5763113
15,1355637,2019-09-19 15:06:26,2020-06-28 05:53:40,282.61613425925924,207227.0,0.15286319272784676,0.9587168246366837,0.041283175363316285,69.0,122,4748930
16,1124821,2019-10-04 12:08:03,2020-07-01 19:48:59,271.3200925925926,1584840.0,1.4089708495840672,0.8580778630555439,0.14192213694445605,44.0,87,4735732
17,1288094,2019-09-20 09:06:12,2020-07-02 11:23:57,286.0956597222222,980549.0,0.7612402510996868,0.9450886348356564,0.0549113651643436,72.0,8,4891574
18,1317810,2019-10-09 15:01:14,2020-08-04 10:22:00,299.806087962963,1669273.0,1.2667023318991357,0.9418709829186301,0.058129017081369846,77.0,5,5158002
19,3492373,2019-09-20 14:20:45,2021-02-09 14:24:59,508.0029398148148,3298750.0,0.9445583275325975,0.903253747523532,0.09674625247646801,67.0,103,7480534
20,781644,2019-10-14 12:05:44,2020-07-02 09:37:59,261.89739583333335,466823.0,0.5972322438347892,0.9300666287977647,0.06993337120223529,43.0,22,4875351
21,1021027,2019-10-14 12:41:27,2020-07-02 10:35:58,261.9128587962963,329198.0,0.3224185060728071,0.9034570094620417,0.09654299053795835,17.0,4,4636291
22,1209561,2019-10-14 13:03:27,2020-08-04 08:58:29,294.82988425925925,320088.0,0.264631548140193,0.9267478035419462,0.0732521964580538,20.0,47,5158786
23,860504,2019-10-15 15:07:41,2020-07-01 13:17:16,259.92332175925924,613146.0,0.7125428818459879,0.920468702062977,0.07953129793702296,41.0,30,4753853
24,1226922,2019-10-15 15:36:19,2020-07-02 09:43:59,260.75532407407405,1203264.0,0.9807176006298689,0.883423722127405,0.116576277872595,34.0,6,4405393
25,1122601,2019-10-28 14:33:01,2020-08-04 09:14:59,280.77914351851854,1688948.0,1.504495363891534,0.8761358666169012,0.12386413338309872,43.0,8,4942228
26,1017717,2019-10-28 14:39:01,2020-07-01 19:29:37,247.20180555555555,1645200.0,1.6165594168123358,0.8351987831587759,0.16480121684122404,56.0,45,4321864
27,1006512,2019-11-14 10:48:07,2020-06-30 03:12:39,228.6837037037037,3080360.0,3.0604304767354984,0.8204979175608438,0.17950208243915622,67.0,3,3933056
28,729938,2019-11-08 10:31:45,2020-06-29 07:11:37,233.8610185185185,1141359.0,1.563638281607479,0.8586414188602319,0.14135858113976804,31.0,2,4321461
29,727024,2019-11-08 11:01:11,2020-06-29 02:16:26,233.63559027777777,458830.0,0.6311070886243095,0.9131995642509738,0.08680043574902617,35.0,2,4319505
30,747910,2019-11-08 11:09:03,2020-08-04 09:11:16,269.9182060185185,720597.0,0.9634809001083018,0.8427765372838978,0.1572234627161022,33.0,4,5082324
31,694839,2020-08-12 09:19:46,2020-12-03 15:22:52,113.25215277777778,756393.0,1.0885874281668126,0.8975805906116381,0.10241940938836191,66.0,1,1751408
32,694507,2020-08-12 09:41:17,2020-12-03 15:25:00,113.23869212962963,1842266.0,2.652624091621827,0.9494461538904575,0.05055384610954245,172.0,1,1751449
