Site,Label,count
2,faucet,4207
2,toilet,719
2,shower,333
2,irrigation,302
2,clotheswasher,205
2,bathtub,12
2,unclassified,17639
3,faucet,384736
3,shower,403
3,toilet,2492
3,irrigation,542
3,clotheswasher,351
3,bathtub,21
4,toilet,1131
4,faucet,5325
4,shower,293
4,irrigation,144
4,clotheswasher,16
5,toilet,566
5,shower,153
5,faucet,27922
5,irrigation,333
5,clotheswasher,84
6,toilet,330
6,faucet,2079
6,shower,86
6,clotheswasher,48
6,irrigation,33
7,toilet,1642
7,faucet,7481
7,irrigation,258
7,clotheswasher,52
7,shower,161
8,faucet,4567
8,irrigation,233
8,toilet,645
8,shower,64
8,clotheswasher,50
9,faucet,136014
9,toilet,1080
9,irrigation,249
9,clotheswasher,128
9,shower,79
10,faucet,11447
10,toilet,730
10,irrigation,8
10,shower,86
10,clotheswasher,20
11,faucet,18960
11,toilet,1391
11,clotheswasher,121
11,shower,182
11,irrigation,76
11,bathtub,3
12,faucet,7410
12,toilet,138
12,irrigation,17
12,shower,33
12,clotheswasher,13
13,faucet,46218
13,toilet,1113
13,shower,118
13,clotheswasher,32
13,irrigation,40
13,bathtub,3
14,faucet,3287
14,toilet,638
14,irrigation,45
14,shower,101
14,clotheswasher,11
14,bathtub,3
15,faucet,9488
15,toilet,949
15,irrigation,16
15,shower,135
15,clotheswasher,30
15,bathtub,7
16,faucet,6196
16,toilet,671
16,shower,145
16,clotheswasher,17
16,irrigation,62
17,faucet,9494
17,toilet,921
17,shower,367
17,irrigation,13
17,clotheswasher,17
18,irrigation,25
18,faucet,5593
18,shower,129
18,toilet,47
18,clotheswasher,13
18,unknown,1
19,toilet,3086
19,faucet,14352
19,irrigation,155
19,clotheswasher,219
19,bathtub,184
19,shower,683
20,faucet,4967
20,toilet,635
20,clotheswasher,83
20,shower,101
20,bathtub,15
20,irrigation,51
21,faucet,10281
21,toilet,1160
21,clotheswasher,155
21,shower,300
21,bathtub,63
21,unknown,9
22,faucet,5470
22,toilet,1435
22,bathtub,79
22,shower,279
22,clotheswasher,100
22,irrigation,36
23,toilet,458
23,faucet,4120
23,shower,159
23,clotheswasher,31
23,irrigation,23
23,bathtub,3
24,toilet,1558
24,faucet,9446
24,clotheswasher,126
24,bathtub,69
24,shower,368
24,irrigation,46
25,toilet,1607
25,faucet,7389
25,irrigation,122
25,shower,140
25,clotheswasher,54
25,bathtub,43
26,faucet,23353
26,toilet,970
26,shower,385
26,clotheswasher,150
26,bathtub,10
26,irrigation,65
27,toilet,1441
27,faucet,7906
27,shower,352
27,clotheswasher,25
27,irrigation,69
27,bathtub,9
27,unknown,4
28,faucet,3419
28,toilet,1154
28,clotheswasher,116
28,bathtub,21
28,irrigation,74
28,shower,100
29,faucet,15486
29,toilet,509
29,shower,34
29,clotheswasher,89
29,bathtub,29
29,irrigation,22
30,faucet,5613
30,toilet,1114
30,shower,208
30,clotheswasher,72
30,irrigation,57
30,bathtub,12
31,unclassified,852
31,faucet,2560
31,toilet,1364
31,shower,252
31,bathtub,28
31,clotheswasher,81
31,irrigation,8
31,unknown,1
32,irrigation,70
32,faucet,2963
32,toilet,688
32,bathtub,17
32,shower,136
32,clotheswasher,17
